,open_time,open,high,low,close,volume,close_time
80,1616371200000,57415.19,58500.00,53635.81,54129.56,293062.947,1616457599999
81,1616457600000,54129.56,55890.68,52981.40,54400.00,276199.041,1616543999999
82,1616544000000,54400.00,57234.79,51666.00,52311.54,394172.526,1616630399999
83,1616630400000,52307.89,53255.20,50452.08,51325.21,416848.091,1616716799999
84,1616716800000,51325.21,55123.00,51260.00,55030.00,271957.842,1616803199999
85,1616803200000,55030.00,56658.76,54001.00,55828.00,234435.346,1616889599999
86,1616889600000,55828.00,56588.31,54694.91,55805.08,200603.768,1616975999999
87,1616976000000,55804.16,58490.11,54931.15,57677.64,277215.268,1617062399999
88,1617062400000,57676.14,59560.00,57110.00,58794.16,232824.065,1617148799999
89,1617148800000,58794.17,59920.00,56812.00,58807.24,337038.349,1617235199999
90,1617235200000,58810.99,59592.22,58002.00,58794.01,196332.114,1617321599999
91,1617321600000,58797.56,60397.85,58490.03,59031.36,189391.958,1617407999999
92,1617408000000,59028.99,59925.00,56900.00,57134.65,198636.171,1617494399999
93,1617494400000,57134.65,58553.00,56517.23,58234.61,152454.122,1617580799999
94,1617580800000,58234.61,59385.00,56808.94,59243.39,174338.646,1617667199999
95,1617667200000,59243.40,59626.18,57500.00,58059.99,165562.029,1617753599999
96,1617753600000,58060.00,58720.00,55536.07,56018.18,265271.707,1617839999999
97,1617840000000,56018.17,58200.00,55759.13,58122.26,161389.858,1617926399999
98,1617926400000,58122.93,58950.00,57700.00,58176.03,141690.144,1618012799999
99,1618012800000,58176.04,61800.00,57943.95,59832.43,240907.592,1618099199999
100,1618099200000,59832.43,60816.88,59304.02,60090.20,148499.824,1618185599999
101,1618185600000,60093.26,61449.91,59500.00,59911.18,196147.561,1618271999999
102,1618272000000,59911.19,63850.00,59873.01,63649.71,279389.492,1618358399999
103,1618358400000,63645.05,64986.11,61404.00,63019.10,323454.880,1618444799999
104,1618444800000,63018.34,63905.83,62157.89,63232.55,178604.198,1618531199999
105,1618531200000,63232.56,63600.00,60100.00,61424.67,255765.893,1618617599999
106,1618617600000,61424.67,62610.00,59620.00,60090.14,194112.299,1618703999999
107,1618704000000,60090.14,60450.00,50050.00,56140.05,522006.276,1618790399999
108,1618790400000,56140.05,57532.70,54200.00,55634.39,285041.716,1618876799999
109,1618876800000,55634.38,57060.00,53330.82,56410.56,324494.085,1618963199999
110,1618963200000,56411.25,56756.78,53610.00,53800.00,252601.972,1619049599999
111,1619049600000,53794.72,55470.51,50534.34,51714.61,453489.185,1619135999999
112,1619136000000,51714.62,52152.00,47546.16,51122.62,554666.026,1619222399999
113,1619222400000,51122.63,51183.51,48690.00,50092.40,299663.131,1619308799999
114,1619308800000,50094.27,50577.90,46930.43,49063.94,310306.501,1619395199999
115,1619395200000,49063.94,54364.89,48763.00,53984.33,390494.148,1619481599999
116,1619481600000,53984.34,55500.00,53225.14,55006.25,225440.361,1619567999999
117,1619568000000,55006.25,56574.13,53852.00,54861.77,263170.559,1619654399999
118,1619654400000,54861.76,55222.02,52350.00,53558.80,257045.190,1619740799999
119,1619740800000,53558.57,57935.00,53043.62,57684.16,294683.751,1619827199999
120,1619827200000,57688.29,58488.17,57051.23,57836.34,207854.398,1619913599999
121,1619913600000,57836.35,57959.97,56100.00,56630.33,203712.515,1619999999999
122,1620000000000,56630.34,59056.59,56500.65,57214.83,271733.972,1620086399999
123,1620086400000,57214.84,57253.76,53094.59,53263.32,388988.754,1620172799999
124,1620172800000,53263.32,57940.00,52880.38,57497.77,317811.705,1620259199999
125,1620259200000,57497.76,58450.00,55297.91,56435.35,275471.204,1620345599999
126,1620345600000,56435.35,58800.00,55300.00,57350.88,256159.504,1620431999999
127,1620432000000,57350.89,59590.96,56961.25,58924.98,264906.729,1620518399999
128,1620518400000,58926.36,59335.19,56316.00,58292.53,245954.014,1620604799999
129,1620604800000,58292.53,59654.00,53250.00,55869.67,396237.133,1620691199999
130,1620691200000,55869.41,56908.66,54541.33,56710.43,267226.104,1620777599999
131,1620777600000,56712.70,58049.99,48503.74,49595.76,472329.152,1620863999999
132,1620864000000,49596.75,51358.00,45596.32,49707.90,652476.689,1620950399999
133,1620950400000,49706.27,51533.00,48870.41,49873.27,319069.002,1621036799999
134,1621036800000,49873.26,50709.43,46584.32,46793.41,442023.496,1621123199999
135,1621123200000,46794.62,49829.39,43866.00,46429.28,604537.630,1621209599999
136,1621209600000,46429.28,46655.00,42151.00,43566.18,809129.365,1621295999999
137,1621296000000,43565.11,45846.61,42268.00,42882.53,590358.592,1621382399999
138,1621382400000,42882.54,43615.93,28688.00,36689.14,1373851.849,1621468799999
139,1621468800000,36689.14,42460.00,34882.00,40500.30,775185.113,1621555199999
140,1621555200000,40500.00,42270.42,33400.00,37211.02,930671.747,1621641599999
141,1621641600000,37210.01,38851.34,35201.11,37432.58,588166.784,1621727999999
142,1621728000000,37436.00,38261.71,31096.70,34651.60,996815.017,1621814399999
143,1621814400000,34656.53,39917.09,34366.00,38779.66,707903.071,1621900799999
144,1621900800000,38783.58,39790.05,36439.32,38326.84,598836.411,1621987199999
145,1621987200000,38326.84,40900.00,37804.76,39224.20,577032.810,1622073599999
146,1622073600000,39224.21,40438.82,37133.22,38527.38,543338.566,1622159999999
147,1622160000000,38527.38,38888.35,34689.57,35670.99,832363.425,1622246399999
148,1622246400000,35670.99,37375.00,33650.00,34611.94,733902.825,1622332799999
149,1622332800000,34611.95,36501.00,33356.00,35651.81,511834.746,1622419199999
150,1622419200000,35651.80,37500.00,34150.00,37243.38,635082.121,1622505599999
151,1622505600000,37244.36,37893.76,35500.00,36693.41,590822.540,1622591999999
152,1622592000000,36694.37,38232.99,35905.00,37569.99,441719.806,1622678399999
153,1622678400000,37570.00,39470.00,37150.15,39247.40,507429.005,1622764799999
154,1622764800000,39247.40,39297.35,35552.51,36828.03,700625.866,1622851199999
155,1622851200000,36828.03,37900.49,34800.00,35498.62,631028.448,1622937599999
156,1622937600000,35497.93,36521.16,35201.86,35801.71,443601.064,1623023999999
157,1623024000000,35801.71,36820.00,33200.00,33550.96,636735.873,1623110399999
158,1623110400000,33550.97,34061.57,30969.00,33372.58,976693.026,1623196799999
159,1623196800000,33372.58,37511.31,32390.00,37368.45,1031014.087,1623283199999
160,1623283200000,37369.99,38489.00,35750.00,36669.66,803185.699,1623369599999
161,1623369600000,36669.65,37679.54,35900.00,37300.42,586122.898,1623455999999
162,1623456000000,37300.41,37432.95,34585.90,35537.05,623532.476,1623542399999
163,1623542400000,35535.95,39374.18,34739.06,38993.65,647035.314,1623628799999
164,1623628800000,38993.66,41000.00,38720.00,40489.10,704979.881,1623715199999
165,1623715200000,40489.10,41413.00,39500.00,40132.86,632066.994,1623801599999
166,1623801600000,40132.86,40495.00,38105.00,38344.97,673235.496,1623887999999
167,1623888000000,38344.97,39565.00,37334.76,38060.71,603849.861,1623974399999
168,1623974400000,38060.71,38198.00,35100.00,35811.41,790379.249,1624060799999
169,1624060800000,35811.41,36471.80,34704.08,35483.00,642185.382,1624147199999
170,1624147200000,35483.01,36155.00,33312.00,35588.64,829896.441,1624233599999
171,1624233600000,35588.63,35746.28,31250.51,31606.00,1397330.662,1624319999999
172,1624320000000,31606.00,33274.00,28780.01,32496.00,1531824.850,1624406399999
173,1624406400000,32496.00,34867.77,31711.50,33649.00,960700.369,1624492799999
174,1624492800000,33650.00,35406.74,32300.00,34644.64,774899.165,1624579199999
175,1624579200000,34644.65,35500.00,31250.00,31568.07,1093051.375,1624665599999
176,1624665600000,31569.18,32720.52,30120.00,32255.56,1091384.749,1624751999999
177,1624752000000,32250.15,34762.00,31960.00,34687.71,897147.453,1624838399999
178,1624838400000,34687.71,35279.38,33855.00,34487.22,706158.545,1624924799999
179,1624924800000,34486.58,36623.00,34206.00,35911.26,806140.329,1625011199999
180,1625011200000,35910.64,36089.96,34042.74,35031.39,719742.983,1625097599999
181,1625097600000,35031.39,35044.98,32672.04,33489.96,758966.493,1625183999999
182,1625184000000,33489.96,33960.00,32684.00,33760.94,664923.202,1625270399999
183,1625270400000,33760.94,34948.16,33296.98,34652.94,510614.258,1625356799999
184,1625356800000,34653.32,35955.55,34340.75,35280.16,451001.556,1625443199999
185,1625443200000,35280.17,35281.55,33032.00,33672.72,736706.409,1625529599999
186,1625529600000,33672.72,35120.00,33500.00,34206.01,644229.007,1625615999999
187,1625616000000,34206.00,35089.56,33756.48,33845.64,456218.909,1625702399999
188,1625702400000,33845.63,33910.00,32066.00,32852.04,650317.664,1625788799999
189,1625788800000,32855.00,34100.00,32250.00,33805.01,485662.879,1625875199999
190,1625875200000,33805.01,34248.58,33010.00,33497.98,410271.979,1625961599999
191,1625961600000,33497.98,34629.62,33306.03,34253.81,343905.350,1626047999999
192,1626048000000,34253.88,34662.73,32650.00,33070.87,502747.758,1626134399999
193,1626134400000,33070.86,33336.00,32186.99,32709.09,466567.713,1626220799999
194,1626220800000,32708.66,33176.47,31556.02,32803.01,521140.410,1626307199999
195,1626307200000,32803.00,33170.00,31140.00,31866.43,539111.667,1626393599999
196,1626393600000,31865.53,32245.00,31018.59,31382.95,516577.743,1626479999999
197,1626480000000,31382.96,31945.00,31150.02,31496.65,422650.418,1626566399999
198,1626566400000,31496.65,32435.93,31075.10,31767.00,412189.401,1626652799999
199,1626652800000,31765.23,31890.00,30358.77,30823.62,486305.627,1626739199999
200,1626739200000,30823.62,31050.00,29242.24,29775.90,602688.190,1626825599999
201,1626825600000,29775.89,32883.90,29472.41,32120.00,787077.390,1626911999999
202,1626912000000,32120.00,32583.48,31700.00,32268.11,397258.936,1626998399999
203,1626998400000,32268.12,33650.00,31970.82,33634.46,404650.016,1627084799999
204,1627084800000,33631.74,34471.00,33379.81,34230.00,376046.028,1627171199999
205,1627171200000,34230.00,35400.00,33812.00,35370.66,404114.844,1627257599999
206,1627257600000,35370.67,48168.60,35185.49,37218.09,1162332.857,1627343999999
207,1627344000000,37218.09,39546.34,36384.31,39442.33,675104.157,1627430399999
208,1627430400000,39448.06,40894.00,38753.00,40003.08,736196.234,1627516799999
209,1627516800000,40003.08,40665.00,39203.83,40012.90,463917.872,1627603199999
210,1627603200000,40012.89,42316.60,38320.00,42203.25,561474.309,1627689599999
211,1627689600000,42202.60,42494.00,41030.19,41448.11,381521.899,1627775999999
212,1627776000000,41448.10,42614.98,39350.40,39846.78,487529.044,1627862399999
213,1627862400000,39846.78,40450.00,38658.00,39147.48,451872.128,1627948799999
214,1627948800000,39147.47,39774.93,37600.00,38203.26,517219.517,1628035199999
215,1628035200000,38201.33,39975.32,37500.00,39731.31,479560.473,1628121599999
216,1628121600000,39731.31,41350.00,37291.00,40882.40,746249.712,1628207999999
217,1628208000000,40882.39,43400.00,39849.82,42825.43,653451.154,1628294399999
218,1628294400000,42825.43,44753.01,42395.20,44601.11,583750.891,1628380799999
219,1628380800000,44601.11,45350.00,43265.00,43787.71,553684.698,1628467199999
220,1628467200000,43787.71,46483.00,42785.00,46259.70,626220.503,1628553599999
221,1628553600000,46259.70,46800.00,44670.05,45589.99,460478.861,1628639999999
222,1628640000000,45589.99,46754.27,45354.00,45522.12,390660.571,1628726399999
223,1628726400000,45522.13,46226.67,43800.00,44385.09,468276.056,1628812799999
224,1628812800000,44385.09,47980.69,44208.88,47792.52,438025.460,1628899199999
225,1628899200000,47792.52,48300.00,46000.00,47083.74,374368.796,1628985599999
226,1628985600000,47083.75,47388.75,45480.00,47006.02,370950.807,1629071999999
227,1629072000000,47006.02,48074.23,45682.03,45926.23,412537.605,1629158399999
228,1629158400000,45926.23,47194.00,44412.01,44704.84,474316.400,1629244799999
229,1629244800000,44704.85,46050.00,44227.32,44714.09,395836.158,1629331199999
230,1629331200000,44714.09,47100.00,43938.38,46772.00,439402.162,1629417599999
231,1629417600000,46772.00,49500.00,46650.00,49332.74,401499.081,1629503999999
232,1629504000000,49332.99,49833.00,48250.00,48848.29,347594.451,1629590399999
233,1629590400000,48846.11,49556.20,48075.81,49273.28,294672.223,1629676799999
234,1629676800000,49273.28,50600.00,49075.01,49523.91,355733.496,1629763199999
235,1629763200000,49523.23,49888.88,47600.00,47719.36,398682.002,1629849599999
236,1629849600000,47719.37,49297.80,47130.57,48992.65,389100.384,1629935999999
237,1629936000000,48992.65,49380.00,46280.00,46853.06,475183.123,1630022399999
238,1630022400000,46854.22,49220.00,46359.97,49083.98,403667.012,1630108799999
239,1630108800000,49082.13,49333.00,48395.65,48931.99,222793.024,1630195199999
240,1630195200000,48931.99,49769.20,47741.31,48795.41,315105.499,1630281599999
241,1630281600000,48795.42,48916.25,46876.49,47024.70,351830.754,1630367999999
242,1630368000000,47024.69,48298.00,46731.03,47150.32,365548.209,1630454399999
243,1630454400000,47150.32,49160.79,46550.99,48842.94,350108.374,1630540799999
244,1630540800000,48842.93,50420.00,48631.20,49299.14,361863.055,1630627199999
245,1630627200000,49299.14,51111.00,48333.00,50027.08,430326.386,1630713599999
246,1630713600000,50027.09,50582.08,49360.00,49940.74,274956.842,1630799999999
247,1630800000000,49942.20,51950.00,49462.59,51799.57,288984.124,1630886399999
248,1630886400000,51799.56,52830.00,51040.00,52683.97,297734.284,1630972799999
249,1630972800000,52683.98,52950.00,42088.00,46864.39,764140.139,1631059199999
250,1631059200000,46864.38,47347.00,44431.00,46062.29,435803.011,1631145599999
251,1631145600000,46060.02,47400.00,45500.00,46413.88,309015.750,1631231999999
252,1631232000000,46413.88,47037.50,44120.00,44860.83,343533.069,1631318399999
253,1631318400000,44860.83,45999.00,44737.40,45193.78,194144.115,1631404799999
254,1631404800000,45194.19,46512.20,44746.51,46046.73,223534.630,1631491199999
255,1631491200000,46048.02,46933.89,43323.93,44975.96,448942.068,1631577599999
256,1631577600000,44975.96,47272.98,44692.90,47087.18,277925.721,1631663999999
257,1631664000000,47087.18,48440.93,46675.00,48106.12,244226.370,1631750399999
258,1631750400000,48106.13,48488.00,47038.21,47745.55,260044.727,1631836799999
259,1631836800000,47745.55,48150.00,46750.00,47303.11,226193.340,1631923199999
260,1631923200000,47303.11,48850.00,47044.32,48285.15,207900.413,1632009599999
261,1632009600000,48284.61,48364.64,46840.00,47256.91,212631.933,1632095999999
262,1632096000000,47256.92,47345.00,42467.86,43026.60,600764.629,1632182399999
263,1632182400000,43026.61,43629.60,39503.58,40726.10,683242.002,1632268799999
264,1632268800000,40727.83,43989.98,40551.49,43520.00,400849.752,1632355199999
265,1632355200000,43520.00,44976.48,43056.00,44828.29,330253.525,1632441599999
266,1632441600000,44828.29,45134.33,40650.00,42798.49,608595.520,1632527999999
267,1632528000000,42798.49,42950.00,41630.26,42651.58,277084.795,1632614399999
268,1632614400000,42646.84,43940.00,40725.01,43150.00,354393.916,1632700799999
269,1632700800000,43150.01,44350.00,42059.13,42122.69,285311.606,1632787199999
270,1632787200000,42122.69,42749.00,40854.00,41006.32,359745.538,1632873599999
271,1632873600000,41002.96,42576.80,40708.73,41499.71,293307.589,1632959999999
272,1632960000000,41499.70,44100.00,41387.78,43796.57,389185.646,1633046399999
273,1633046400000,43799.49,48450.00,43260.01,48123.94,449491.768,1633132799999
274,1633132800000,48123.93,48338.68,47410.00,47626.61,182565.988,1633219199999
275,1633219200000,47626.62,49304.12,47071.26,48187.30,212410.375,1633305599999
276,1633305600000,48187.99,49544.48,46885.29,49198.22,324424.837,1633391999999
277,1633392000000,49199.78,51888.00,49009.21,51455.12,314043.813,1633478399999
278,1633478400000,51460.22,56416.02,50410.00,55321.60,418731.748,1633564799999
279,1633564800000,55327.45,55337.80,53374.34,53814.99,262974.545,1633651199999
280,1633651200000,53814.99,56208.73,53647.30,53975.00,255210.035,1633737599999
